Timestamp,Test Name,Path Length,Execution Time (sec)
2026-06-28 20:59:41,Static Test,19,0.0003
2026-06-28 20:59:41,Dynamic Test,15,0.0003
2026-06-28 21:00:26,Static Test,19,0.0003
2026-06-28 21:00:26,Dynamic Test,15,0.0002
